broker,duration_s,producers,consumers,target_msg_per_sec,payload_bytes,sent,send_errors,processed,process_errors,throughput_msg_s,latency_ms_mean,latency_ms_p95,notes
rabbitmq,4.0,1,1,1000,128,3995,0,3929,0,981.7437167287703,119.48449592491754,155.866792,latency sample size=3929/3929
rabbitmq,4.0,1,1,5000,128,19961,0,2685,0,671.025954163781,1774.6312199359422,3296.838175,latency sample size=2685/2685
rabbitmq,4.0,1,1,10000,128,32253,0,1882,0,470.32770826050876,1870.2009978273097,3581.4762628,latency sample size=1882/1882
rabbitmq,4.0,1,1,1000,1024,3996,0,7,0,1.7483301991113596,1.010791857142857,1.4517625,latency sample size=7/7
rabbitmq,4.0,1,1,5000,1024,19966,0,2700,0,674.7208693258017,1716.959839544814,3287.80428125,latency sample size=2700/2700
rabbitmq,4.0,1,1,10000,1024,31987,0,1881,0,470.03190026294305,1942.6821929851114,3582.6655,latency sample size=1881/1881
rabbitmq,4.0,1,1,1000,10240,3996,0,3845,0,960.7717960147413,72.45354482600793,150.4739082,latency sample size=3845/3845
rabbitmq,4.0,1,1,5000,10240,19976,0,1972,0,492.78735708115204,1657.7375155035495,3127.8662916999997,latency sample size=1972/1972
rabbitmq,4.0,1,1,10000,10240,19929,0,2379,0,594.5271080713894,1648.989659897855,3386.4515417,latency sample size=2379/2379
rabbitmq,4.0,1,1,1000,102400,3994,0,1717,0,429.0079903720147,1146.6066067536397,2178.529733,latency sample size=1717/1717
rabbitmq,4.0,1,1,5000,102400,6229,0,1054,0,263.37881835216086,1639.891634769449,3227.4478913499997,latency sample size=1054/1054
rabbitmq,4.0,1,1,10000,102400,6745,0,1035,0,258.5186204058458,1800.5799565314023,3249.3204877,latency sample size=1035/1035
redis,4.0,1,1,1000,128,4001,0,4001,0,999.9554088867319,0.36157009622594366,0.418125,latency sample size=4001/4001
redis,4.0,1,1,5000,128,19451,0,19425,0,4819.188482772165,26.72490287577846,37.99015,latency sample size=19425/19425
redis,4.0,1,1,10000,128,19698,0,19513,0,4873.897812738464,28.14692026746263,41.0201168,latency sample size=19513/19513
redis,4.0,1,1,1000,1024,4001,0,4001,0,999.931709237804,0.3836653054236453,0.432375,latency sample size=4001/4001
redis,4.0,1,1,5000,1024,18802,0,18800,0,4664.067056107778,23.706112592127738,32.9047101,latency sample size=18800/18800
redis,4.0,1,1,10000,1024,18936,0,18794,0,4690.819126110797,26.425269650952348,36.00961019999999,latency sample size=18794/18794
redis,4.0,1,1,1000,10240,4001,0,4001,0,999.9980317459388,0.6203713114221433,1.3235,latency sample size=4001/4001
redis,4.0,1,1,5000,10240,10426,0,10422,0,2604.993111974045,2.2815214602763305,4.047001749999998,latency sample size=10422/10422
redis,4.0,1,1,10000,10240,10874,0,10872,0,2716.436464671244,2.201835986111112,3.2814752999999985,latency sample size=10872/10872
redis,4.0,1,1,1000,102400,3042,0,3041,0,759.9554934976616,3.8775702400526177,7.377542,latency sample size=3041/3041
redis,4.0,1,1,5000,102400,3255,0,3254,0,813.2207009766919,3.706647014136451,5.7749938499999995,latency sample size=3254/3254
redis,4.0,1,1,10000,102400,3231,0,3231,0,807.1427931356545,3.992105956360254,6.694812499999999,latency sample size=3231/3231
